id,date,description,type,amount,category
450,2025-11-07,Sweetgreen,withdrawal,16.50,Food
451,2025-11-07,Therapy Session,withdrawal,150.00,Health
452,2025-11-08,Best Buy,withdrawal,350.00,Shopping
453,2025-11-09,Whole Foods,withdrawal,120.00,Groceries
454,2025-10-20,Corner Bistro,withdrawal,27.45,Food
455,2025-10-20,Outdoor Outfitters,withdrawal,129.99,Shopping
456,2025-10-21,Harborview Parking,withdrawal,18.0,Transport
457,2025-10-22,ZypherX Intl Payment,withdrawal,3500.0,Shopping
458,2025-10-22,Artisan Bakery,withdrawal,12.75,Food
459,2025-10-23,State Fair Tickets,withdrawal,48.0,Entertainment
460,2025-10-23,Eastside Diner,withdrawal,22.3,Food
461,2025-10-24,Metro Laundromat,withdrawal,14.0,Services
462,2025-10-25,GoldenGate Crypto Exchange,withdrawal,2800.0,Shopping
463,2025-10-25,Valley Hardware,withdrawal,39.6,Shopping
464,2025-10-26,Skyline Hotel - out of state,withdrawal,420.0,Travel
465,2025-10-26,Pepper's Pizza,withdrawal,19.95,Food
466,2025-10-27,Suburban Auto Parts,withdrawal,74.2,Transport
467,2025-10-27,Green Grocer,withdrawal,43.5,Groceries
468,2025-10-28,Sunny Day Spa,withdrawal,95.0,Services
469,2025-10-28,Main Street Books,withdrawal,26.5,Shopping
470,2025-10-29,Oceanic Refunds,withdrawal,1250.0,Shopping
471,2025-10-29,Corner Store,withdrawal,8.25,Groceries
472,2025-10-30,All Seasons Hardware,withdrawal,58.75,Shopping
473,2025-10-30,Broadway Cinema,withdrawal,14.0,Entertainment
474,2025-10-31,Harvest Farmers Market,withdrawal,34.0,Groceries
475,2025-10-31,Express Car Wash,withdrawal,16.0,Transport
476,2025-11-01,Campus Cafe,withdrawal,9.5,Food
477,2025-11-01,SmallTown Insurance,withdrawal,95.0,Insurance
478,2025-11-02,Novelty Gifts,withdrawal,22.99,Shopping
479,2025-11-02,BlueWave Tour - out of state,withdrawal,650.0,Travel
481,2025-11-03,Mercantile Pharmacy,withdrawal,24.4,Health
482,2025-11-04,Neighborhood Deli,withdrawal,13.75,Food
483,2025-11-04,City Bike Rental,withdrawal,30.0,Transport
484,2025-11-05,Harvest Clinic,withdrawal,60.0,Health
485,2025-11-05,Seaside Boutique,withdrawal,89.9,Shopping
486,2025-11-06,Interstate Furnishings - out of state,withdrawal,1200.0,Shopping
487,2025-11-06,QuickCash Wire - FL,withdrawal,2200.0,Shopping
488,2025-11-06,Coffee Stand,withdrawal,4.75,Coffee
490,2025-11-07,Neighborhood Florist,withdrawal,55.0,Shopping
491,2025-11-07,Pet Supplies Plus,withdrawal,38.9,Shopping
492,2025-11-08,Highland Gym,withdrawal,45.0,Health
493,2025-11-08,BlueLine Taxi,withdrawal,27.0,Transport
494,2025-11-08,Starlight Electronics,withdrawal,299.99,Shopping
495,2025-11-08,SmallTown Charity,withdrawal,20.0,Services
496,2025-11-09,Westside Grocers,withdrawal,67.4,Groceries
497,2025-11-09,Peak Performance,withdrawal,129.0,Health
498,2025-11-09,Airport Express Parking - out of state,withdrawal,72.0,Transport
500,2025-11-09,TinyTop Toys,withdrawal,25.0,Shopping
501,2025-11-09,Mainline Utilities,withdrawal,88.6,Utilities
502,2025-11-09,Corner Bistro,withdrawal,31.2,Food
503,2025-11-09,Express Mail Center,withdrawal,12.5,Services
